"Reference","Qty","Value","Info","Mfr","Cost","Description","Datasheet"
"LED1,LED2,LED3,LED4,LED5,LED6","6","OVLFG3C7","Green 525nm LED Indication - Discrete 3.4V Radial","TT Electronics","$0.44","LED GREEN CLEAR 5MM T/H","https://www.digikey.com/en/products/detail/tt-electronics-optek-technology/OVLFG3C7/827117"
"TB-A3,TB-A4,TB-B3,TB-B4,TB3,TB4","6","3208208/BLU","Terminal Block Connector 4 Position Feed Through Gray 14-26 AWG","Phoenix Contact","$1.83","","https://www.phoenixcontact.com/en-us/products/multi-conductor-terminal-block-pt-15s-quattro-3208197"
"TB-A1,TB-A2,TB-B1,TB-B2,TB1,TB2","6","3208197/GRY","Terminal Block Connector 4 Position Feed Through Gray 14-26 AWG","Phoenix Contact","$1.83","","https://www.phoenixcontact.com/en-us/products/multi-conductor-terminal-block-pt-15s-quattro-3208197"
"SW1,SW2,SW3,SW4,SW5,SW6","6","2PB11","","Honeywell Sensing","$165.16","PB Switch SPDT x 2 Standard Panel Mount, Rear","https://www.digikey.com/en/products/detail/honeywell-sensing-and-productivity-solutions/2PB11/1248816"
"SSR-StsLP1,SSR-StsLP2,SSR-StsLP3","3","2905293","Loop Status","Phoenix Contact","$26.47","SSR RELAY SPST-NO 3A 3-33V","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6166/RIF-0-OPT-24DC_24DC_2.pdf"
"SSR-A1,SSR-A2,SSR-A3,SSR-A4,SSR-B1,SSR-B2,SSR-B3,SSR-B4","8","52511","","Murr","$22.50","MIRO TR 24VDC 20KHZ IN<1MA OPTO-SPST","https://www.automationdirect.com/adc/shopping/catalog/relays_-z-_timers/optocoupler_relays/52511?srsltid=AfmBOoq-n2697LSqzmjaMwd-Sr5CC2yJvxaUk5WAfUlPuLUUbm9nKA0Z"
"Socket1","1","RC16M23D28","","Souriau","$3.36","CONN SOCKET 16-20AWG GOLD CRIMP","https://www.digikey.com/en/products/detail/souriau-sunbank-by-eaton/RC16M23D28/1243192"
"R1,R2,R3,R4,R5,R6","6","2K2","2K2, Metal Film Resistors, 1/4W","","$0.21","Resistor","https://www.mouser.com/en/ProductDetail/YAGEO/MFR-25JT-52-2K2?qs=sGAEpiMZZMsPqMdJzcrNwqpmsrDQJrmxQlgeW66reHiKxneTK%2FnR%252BQ%3D%3D"
"PTJP1,PTJP2,PTJP3,PTJP4,PTJP5","5","3213014","","Phoenix Contact","$0.69","JUMPER TERM BLK 2POS FLAT PIN","https://www.digikey.com/en/products/detail/phoenix-contact/3213014/3603870"
"PS1","1","1523018","100 VAC to 240 VAC, 24 VDC @5A","Phoenix Cont","$138.29","Power Supplies - DIN Rail Mount TRIO3-PS/1AC/24DC/5/CO","https://www.mouser.com/datasheet/3/507/8/phoenix_contact_1523018_en.pdf"
"PIN1","1","RM16M23K","Associated Products for UT00104PH","Souriau-Sunbank by Eaton","","Pin Contact Gold Crimp 16-20 AWG Machined","https://www.digikey.com/en/products/detail/souriau-sunbank-by-eaton/RM16M23K/2601312"
"J7","1","6100.3300.33","","SCHURTER Inc.","$15.18","Power Entry Connector Receptacle, Male Blades - Module IEC 320-C14 Panel Mount, Flange","https://www.schurter.com/en/datasheet/typ_6100-3.pdf"
"FH1","1","03420014H","120V/3A","Littelfuse Inc.","$6.16","Fuse Holder 20 A 250V 1 Circuit Cartridge Panel Mount, 3AG, 1/4"" x 1-1/4"" (SFE-20)","https://www.littelfuse.com/assetdocs/littelfuse_fuse_holder_342_datasheet.pdf?assetguid=754641e2-4a21-4794-9216-6e2082e5c619"
"F1,TB-F2","2","1880410000","1A,3A","Weidmüller","$33.68","CONN TERM BLK DISCONN 10-30AWG Fuse Type: 6.3mm x 32mm",""
"EDP1","1","3208375","","Phoenix Contact","$0.84","Connector End Plate For CLIPLINE PT Series","https://www.phoenixcontact.com/en-us/products/end-cover-d-pt-15s-quattro-3208375?type=pdf"
"DPM1,DPM2,DPM3","3","DPM1-A-2R-L","","ProSense","$151","DPM, +/-20mA, 1/32 DIN, 4-digit LED, 21-53 VAC/10.5-70 VDC, (2) 5A SPST relays","https://www.automationdirect.com/adc/shopping/catalog/process_control_-a-_measurement/digital_panel_meters/analog_input/dpm1-a-2r-l"
"ACC.Bcksh(F)-P1,ACC.Bcksh(F)-P2,ACC.Bcksh(F)-P3,ACC.Bcksh(F)-P4,ACC.Bcksh(F)-P5,ACC.Bcksh(F)-P6,ACC.Bcksh(M)-P1,ACC.Bcksh(M)-P2,ACC.Bcksh(M)-P3,Bcksh1","10","UT010AC","","","$19.25","Silver Connector Backshell, Cable Clamp 9/16-24 UNEF 10","https://www.digikey.com/en/products/detail/souriau-sunbank-by-eaton/UT010AC/1243003"
"ACC(M).LPM-P1,ACC(M).LPM-P2,ACC(M).LPM-P3,J1,J2,J3,J4,J5,J6","9","UT00104PH","","Souriau","$22.73","Standard Circular Connector 4P Pin Receptacle Wall Mount Size 10","https://www.mouser.com/datasheet/3/464/1/C001-UT00-A.pdf"
"ACC(F).LPM-P1,ACC(F).LPM-P2,ACC(F).LPM-P3,ACC(F).PmtChA-P5,ACC(F).PmtChB-P6,ACC(F).STS-P4,PLUG?","7","UT06104SH","","","$37.04","CONN PLUG HSG FMALE 4POS INLINE","https://www.digikey.com/en/products/detail/souriau-sunbank-by-eaton/UT06104SH/1242987"
